Script ID,Eng,Kor,JP_M,JP_W,Placeholder,맞춤법 검사 결과,EOL
DialogueC_001,???,우연,???,???,,,EOL
DialogueC_002,Accidy,우연,グウゼン,グウゼン,,,EOL
DialogueC_003,Fate,필연,ヒツゼン,ヒツゼン,,,EOL
DialogueC_004,,,,,,,EOL
Dialogue_0001,Hello.,안녕,,,,,EOL
Dialogue_0002,You’re awake?,깼어?,,,,,EOL
Dialogue_0003,...,...,,,,,EOL
Dialogue_0004,Yeah.,응,,,,,EOL
Dialogue_0005,Let’s stay quiet for now and figure out the situation.,우선 조용히 상황을 파악하자.,,,,,EOL
Dialogue_0006,Hiding is pointless—we’ll be caught anyway. \n...Seems like they didn’t hear my voice.,숨겨봤자 걸릴게 뻔하다. \n...상대방은 내 목소리를 못들은 것 같다.,,,,,EOL
Dialogue_0007,The voice coming from nearby was—,옆에서 들린 목소리는,,,,,EOL
Dialogue_0008,A Girl,여자,,,,,EOL
Dialogue_0009,A Boy,남자,,,,,EOL
Dialogue_0010,It was a woman's voice` soft and thin.,부드럽고 얇은 느낌의 여자 목소리였다.,,,,,EOL
Dialogue_0011,It was a male voice that was easy on the ears.,편히 듣기 좋은 남자 목소리였다.,,,,,EOL
Dialogue_0012,Anyway` where am I...,그나저나 여긴 어디지...,,,,,EOL
Dialogue_0013,The medicine... Was it too strong...?,약...약이 너무 강했나...,,,,,EOL
Dialogue_0014,What do I do... At this rate` I'll die... I'll die...,어쩌지...이러다가 죽어버리면….죽어버리면…,,,,,EOL
Dialogue_0015,Are they biting their nails?\nIf I leave them be` they'll keep biting.\nI should stop them.,손톱을 물어뜯는 건가? \n냅두면 계속해서 물어뜯을 것 같다\n우선 말려야겠지.,,,,,EOL
Dialogue_0016,I woke up.,깼어,,,,,EOL
Dialogue_0017,Ah! Thank goodness! Looks like there's no serious problem!\nI was worried you might have died!,아! 다행이다! 큰 문제는 없나봐!\n혹시 죽었을까봐 걱정이었어!,,,,,EOL
Dialogue_0018,You say it like it's nothing....,아무렇지 않게 말하네....,,,,,EOL
Dialogue_0019,Alright! Then hurry up and say ''Ah~.'',자! 그럼 이제 어서 아~ 해.,,,,,EOL
Dialogue_0020,Huh?,응?,,,,,EOL
Dialogue_0021,It's going to hurt` so you should eat some porridge! Say ah~,아플 테니까 죽 먹어야지! 아~,,,,,EOL
Dialogue_0022,I instinctively dodged.,무의식적으로 몸을 피했다. ,,,,,EOL
Dialogue_0023,This time` seriously... I didn't lace it....,이번엔 진짜... 약은 안 탔는데....,,,,,EOL
Dialogue_0024,I'm serious....,정말인데.... ,,,,,EOL
Dialogue_0025,You don’t trust me? Huh?,날 믿지 못하는 거야? 응?,,,,,EOL
Dialogue_0026,I eat the porridge.,죽을 먹는다.,,,,,EOL
Dialogue_0027,Ignore it.,무시한다.,,,,,EOL
Dialogue_0028,I think I’ll keep biting my nails until I eat.,내가 먹을 때까지 계속 손톱을 물어뜯을 것 같다.,,,,,EOL
Dialogue_0029,I'll eat it.,먹을게.,,,,,EOL
Dialogue_0030,Anyway` they would’ve kept that up until I said I’d eat it.,어차피 내가 먹겠다 할 때까지 저러고 있었겠지.,,,,,EOL
Dialogue_0031,Wow~ I knew you’d trust me! I’m so happy!,와~ 역시 나를 믿어주는구나! 기뻐!,,,,,EOL
Dialogue_0032,,다 먹었네! 장하다!\n있잖아` 나도 {PlayerName}(이)랑만 붙어있고 싶은데...,,,TRUE,,EOL
Dialogue_0033,I’ve got something I really need to step out and take care of.,나 꼭 나가봐야 하는 일이 있어서 말이야.,,,,,EOL
Dialogue_0034,Don't go out. Just stay put here.,나가지 말고 여기서 얌전히 지내고 있어야 해.,,,,,EOL
Dialogue_0035,Got it?,알았지?,,,,,EOL
Dialogue_0036,Yeah.,응,,,,,EOL
Dialogue_0037,I nod.,고개를 끄덕인다.,,,,,EOL
Dialogue_0038,You promised to stay put!,얌전히 있기로 약속한 거야!,,,,,EOL
Dialogue_0039,If you leave` I'll end up dying trying to find you!,나가면 너를 찾아 헤매다가 나 죽어버릴 거니까!,,,,,EOL
Dialogue_0040,So keep sleeping quietly♡\nYou're going to miss me.,그러니까 얌전히 자고 있어♡\n보고 싶을 거야.,,,,,EOL
Dialogue_0041,Just as I thought—someone laced the porridge.,역시 죽에 뭘 탔나 보다.,,,,,EOL
Dialogue_0042,My vision blurs` and sleep comes over me.,시야가 흐려지고 잠이 온다,,,,,EOL
Dialogue_0043,The kidnapper who abducted me seems to have left the room.,날 납치한 납치범은 방을 나간 것 같다.,,,,,EOL
Dialogue_0044,If I make my defiance too obvious` I don’t know what they’ll do to me...,너무 반항하는 걸 티내면 날 어떻게 할지 몰라...,,,,,EOL
Dialogue_0045,I'll act docile in front of the kidnapper` and when they step away` I'll look for information on how to escape.,납치범의 앞에서는 얌전한 척을 하고 납치범이 자리를 비웠을 때 탈출에 대한 정보를 찾아봐야겠다.,,,,,EOL
Dialogue_0046,Teddy bears are heaped on the bed.,곰인형들이 무더기로 침대 위에 올려져 있다.,,,,,EOL
Dialogue_0047,Was the nagging unease I felt every time I slept because of these things....,잠 잘 때마다 느낀 찝찝함은 얘네들 때문이었나....,,,,,EOL
Dialogue_0048,A heavily lace-trimmed blanket.,레이스가 잔뜩 달린 이불이다.,,,,,EOL
Dialogue_0049,It's far from my usual taste.,평소의 내 취향과는 거리가 있다.,,,,,EOL
Dialogue_0050,It's cold medicine and canned alcohol.,감기약과 캔에 담긴 술이다.,,,,,EOL
Dialogue_0051,Are you mixing alcohol with your meds?,술과 약을 함께 먹는 건가?,,,,,EOL
Dialogue_0052,The pills are mostly gone.,약은 꽤 많이 비워져 있다.,,,,,EOL
Dialogue_0053,Come to think of it` there’s even a ribbon on the straw...,그나저나 빨대에도 리본을 달아놨네...,,,,,EOL
Dialogue_0054,A desk lamp sits on the desk.,책상 위에 있는 스탠드 조명이다.,,,,,EOL
Dialogue_0055,It has bear-shaped ears.,곰 모양의 귀가 달려 있다.,,,,,EOL
Dialogue_0056,You've got pretty firm tastes.,취향 한 번 확고하네.,,,,,EOL
Dialogue_0057,A storage cabinet crammed with teddy bears.,곰인형들이 빽빽하게 놓여진 수납장이다.,,,,,EOL
Dialogue_0058,All the dolls bear traces of crude stitching or repair.,인형들은 모두 어딘가 서툴게 꿰매지거나 고쳐진 흔적이 있다.,,,,,EOL
Dialogue_0059,Did you rework it yourself? \nThat's... quite a taste....,직접 리폼한 건가? \n취향 한 번....,,,,,EOL
